chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL3673539,CS(=O)(=O)N1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,8,nM,8.096910013
CHEMBL3673540,Fc1cccc(CNc2nc(-c3ccnc4[nH]c(C5CCNCC5)cc34)c(F)cc2F)c1,2,nM,8.698970004
CHEMBL3673541,CNC(=O)N1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,2,nM,8.698970004
CHEMBL3673542,O=C(CO)N1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,2,nM,8.698970004
CHEMBL3673543,CS(=O)(=O)N1CC=C(c2cc3c(-c4nc(NCc5cccc(F)c5)c(F)cc4F)ccnc3[nH]2)CC1,110,nM,6.958607315
CHEMBL3673544,CNC(=O)N1CCC(c2cc3c(-c4nc(NCc5cccc(F)c5)c(F)cc4F)ccnc3[nH]2)CC1,10,nM,8
CHEMBL3673545,O=C(CO)N1CCC(c2cc3c(-c4nc(NCc5cccc(F)c5)c(F)cc4F)ccnc3[nH]2)CC1,6,nM,8.22184875
CHEMBL3673546,O=C(O)C1CC=C(c2cc3c(-c4cncc(NCc5ccccc5)n4)ccnc3[nH]2)CC1,21,nM,7.677780705
CHEMBL3673547,CNC(=O)C1CC=C(c2cc3c(-c4cncc(NCc5ccccc5)n4)ccnc3[nH]2)CC1,11,nM,7.958607315
CHEMBL3673548,O=C(O)C1CC=C(c2cc3c(-c4cncc(NCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,44,nM,7.356547324
CHEMBL3673549,O=C(O)C1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,18,nM,7.744727495
CHEMBL3673550,CNC(=O)C1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,84,nM,7.075720714
CHEMBL3673551,NC(=O)C1CC=C(c2cc3c(-c4cncc(OCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,87,nM,7.060480747
CHEMBL3673552,NC(=O)C1CC=C(c2cc3c(-c4cncc(NCc5cccc(F)c5)n4)ccnc3[nH]2)CC1,44,nM,7.356547324
CHEMBL3673553,NC(=O)C1CC=C(c2cc3c(-c4cncc(NCc5ccccc5)n4)ccnc3[nH]2)CC1,2200,nM,5.657577319
CHEMBL3673554,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(CC(=O)OC(C)(C)C)CC3)cc12,570,nM,6.244125144
CHEMBL3906489,CCOC(=O)N=S(C)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1,8,nM,8.096910013
CHEMBL3965161,COc1cc(F)ccc1-c1nc(Nc2cccc(CS(C)(=N)=O)c2)ncc1F,15,nM,7.823908741
CHEMBL3900262,CCOC(=O)N=S(C)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OCc3ccccc3)n2)c1,9,nM,8.045757491
CHEMBL3927078,CS(=N)(=O)Cc1cccc(Nc2ncc(F)c(-c3ccc(F)cc3OCc3ccccc3)n2)c1,9,nM,8.045757491
