chembl_id,smiles,ic50,ic50_unit,pIC50
CHEMBL4784117,CC(=O)N[C@@H]1CC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,40.0,nM,7.397940008672037
CHEMBL4759074,CC(=O)NC1CCCC(C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,49.0,nM,7.309803919971486
CHEMBL4798156,CC(=O)N[C@H]1CCC[C@@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(Cl)cn2)C1,310.0,nM,6.508638306165728
CHEMBL4749175,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnc4n3CC(C)(C)C4)c(Cl)cn2)C1,36.0,nM,7.443697499232713
CHEMBL4753256,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)C4)c(Cl)cn2)C1,36.0,nM,7.443697499232713
CHEMBL4753076,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(C)cn2)C1,40.0,nM,7.397940008672037
CHEMBL4784363,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)c(C#N)cn2)C1,150.0,nM,6.823908740944319
CHEMBL4741063,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)C4)ccn2)C1,150.0,nM,6.823908740944319
CHEMBL4752748,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)CC4)c(F)cn2)C1,10.0,nM,8.0
CHEMBL4785242,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CC(C)(C)CC4)ccn2)C1,48.0,nM,7.318758762624412
CHEMBL4796500,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3OCCC4)c(Cl)cn2)C1,350.0,nM,6.455931955649724
CHEMBL4750648,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3NCCC4)c(Cl)cn2)C1,860.0,nM,6.0655015487564325
CHEMBL4764361,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CN(C)CC4)c(Cl)cn2)C1,800.0,nM,6.096910013008056
CHEMBL4787309,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3COCC4)c(Cl)cn2)C1,2100.0,nM,5.6777807052660805
CHEMBL4786995,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CCCCC4)c(Cl)cn2)C1,92.0,nM,7.036212172654444
CHEMBL4756050,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnc4n3CCC4)c(Cl)cn2)C1,760.0,nM,6.119186407719209
CHEMBL4788016,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CCC4)c(Cl)cn2)C1,530.0,nM,6.275724130399211
CHEMBL4764938,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3nnn4ccccc34)c(Cl)cn2)C1,2600.0,nM,5.585026652029182
CHEMBL4765079,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnc4ccccn34)c(Cl)cn2)C1,1600.0,nM,5.795880017344075
CHEMBL4799201,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnc(C)n3C)c(Cl)cn2)C1,3000.0,nM,5.522878745280337
CHEMBL4789009,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnc4n3CCCC4)c(Cl)cn2)C1,1200.0,nM,5.920818753952375
CHEMBL4759053,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4ccccc34)c(Cl)cn2)C1,140.0,nM,6.853871964321762
CHEMBL4758821,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn(C)c3C)c(Cl)cn2)C1,440.0,nM,6.356547323513813
CHEMBL4751230,CC(=O)N[C@@H]1CCC[C@H](C(=O)Nc2cc(-c3cnn4c3CCCC4)c(F)cn2)C1,100.0,nM,7.0
